j xq yq zq rhoq vxq vyq vzq pxq pyq pzq Tq pq
0 0.000000 0.000000 0.000000 5.774978 0.214996 0.069988 0.008849 1.241595 0.404181 0.051105 0.014710 0.459560
1 0.000000 -0.032258 0.015042 8.991996 0.387793 0.018384 -0.006845 3.487036 0.165305 -0.061546 0.036341 0.456184
2 0.000000 -0.031234 0.015042 9.296660 0.381844 0.018860 -0.006025 3.549874 0.175335 -0.056011 0.036812 0.454831
3 0.000000 -0.030210 0.015042 9.595332 0.375866 0.019498 -0.005207 3.606562 0.187093 -0.049965 0.037195 0.451485
4 0.000000 -0.029186 0.015042 9.888982 0.369847 0.020302 -0.004391 3.657413 0.200767 -0.043423 0.037491 0.446174
5 0.000000 -0.028162 0.015042 10.177885 0.363792 0.021267 -0.003578 3.702631 0.216454 -0.036419 0.037698 0.438945
6 0.000000 -0.027138 0.015042 10.462198 0.357715 0.022382 -0.002771 3.742490 0.234161 -0.028991 0.037813 0.443251
7 0.000000 -0.026114 0.015042 10.742085 0.351639 0.023632 -0.001970 3.777337 0.253856 -0.021158 0.037831 0.449779
8 0.000000 -0.025090 0.015042 11.017125 0.345587 0.024999 -0.001175 3.807378 0.275419 -0.012941 0.037749 0.454374
9 0.000000 -0.024066 0.015042 11.286630 0.339584 0.026460 -0.000389 3.832765 0.298639 -0.004388 0.037568 0.456997
10 0.000000 -0.023041 0.015042 11.549264 0.333655 0.027989 0.000385 3.853467 0.323254 0.004447 0.037289 0.457626
11 0.000000 -0.022017 0.015042 11.803362 0.327818 0.029563 0.001148 3.869351 0.348946 0.013547 0.036915 0.456254
12 0.000000 -0.020993 0.015042 12.047962 0.322088 0.031157 0.001905 3.880500 0.375376 0.022949 0.036450 0.452894
13 0.000000 -0.019969 0.015042 12.282306 0.316471 0.032747 0.002664 3.886995 0.402205 0.032719 0.035901 0.447575
14 0.000000 -0.018945 0.015042 12.504943 0.310973 0.034310 0.003432 3.888706 0.429043 0.042922 0.035273 0.440340
15 0.000000 -0.017921 0.015042 12.713590 0.305596 0.035824 0.004218 3.885225 0.455450 0.053620 0.034573 0.435345
16 0.000000 -0.016897 0.015042 12.905770 0.300339 0.037261 0.005023 3.876103 0.480885 0.064827 0.033810 0.438833
17 0.000000 -0.015873 0.015042 13.080391 0.295218 0.038591 0.005845 3.861566 0.504789 0.076452 0.032993 0.440349
18 0.000000 -0.014849 0.015042 13.237734 0.290259 0.039803 0.006680 3.842376 0.526896 0.088422 0.032138 0.446422
19 0.000000 -0.013825 0.015042 13.378866 0.285489 0.040893 0.007526 3.819514 0.547100 0.100689 0.031260 0.451601
20 0.000000 -0.012801 0.015042 13.505870 0.280928 0.041845 0.008375 3.794182 0.565157 0.113107 0.030381 0.454530
21 0.000000 -0.011777 0.015042 13.620868 0.276603 0.042643 0.009215 3.767571 0.580831 0.125521 0.029520 0.455181
22 0.000000 -0.010753 0.015042 13.726247 0.272540 0.043276 0.010044 3.740958 0.594013 0.137862 0.028693 0.453548
23 0.000000 -0.009729 0.015042 13.824229 0.268770 0.043740 0.010857 3.715532 0.604678 0.150091 0.027916 0.452255
24 0.000000 -0.008705 0.015042 13.916491 0.265316 0.044040 0.011654 3.692273 0.612878 0.162185 0.027202 0.455775
25 0.000000 -0.007680 0.015042 14.003902 0.262201 0.044180 0.012433 3.671833 0.618688 0.174105 0.026564 0.457358
26 0.000000 -0.006656 0.015042 14.086567 0.259433 0.044171 0.013188 3.654520 0.622223 0.185779 0.026010 0.456990
